"","Age","Height"
"1",64,134.0257470784
"2",57,103.26670428057
"3",51,236.536282893985
"4",53,176.01579475624
"5",62,141.764604154124
"6",63,151.835319045598
"7",47,185.215334104255
"8",48,173.492090193874
"9",55,169.076941182394
"10",64,215.491919783274
"11",35,118.076326890803
"12",67,199.183704991276
"13",49,33.2220565348865
"14",50,173.304651125883
"15",51,147.772678592085
"16",45,124.272335435355
"17",68,79.7929579340313
"18",55,179.773275817607
"19",60,209.463840334519
"20",36,115.195004560211
"21",58,157.619411601636
"22",57,149.629701186697
"23",63,170.38215488099
"24",62,190.530434537007
"25",70,102.629563155915
"26",64,126.457336898642
"27",51,8.42409820646486
"28",63,230.959228305061
"29",59,95.873911025227
"30",48,167.912292551023
"31",42,162.685286685146
"32",53,122.017152687065
"33",53,160.636797726542
"34",60,217.438985919176
"35",45,121.613296461487
"36",55,225.918731397494
"37",54,178.326461321389
"38",54,87.0124187626717
"39",58,178.498450868016
"40",60,161.31401056231
"41",50,102.287592223155
"42",58,172.916118586269
"43",39,91.056877942363
"44",72,168.68104544789
"45",52,220.127410727538
"46",43,110.002784345665
"47",59,80.0345733341634
"48",54,177.658256183827
"49",60,226.970514257991
"50",45,102.306794725571
"51",55,178.906691874751
"52",39,184.863193794559
"53",62,56.5174879922795
"54",69,266.269081288735
"55",61,156.689307814962
"56",50,122.343029220681
"57",58,87.8652245787346
"58",60,136.639201065022
"59",43,124.834827225935
"60",52,38.0015401256519
"61",58,102.932254470712
"62",60,190.537138083453
"63",65,118.750419203434
"64",65,147.609035004307
"65",60,142.464692622021
"66",61,162.241195567429
"67",43,118.218616270116
"68",53,95.3341356099884
"69",61,170.498773086557
"70",55,126.777816151765
"71",61,126.549608239536
"72",64,188.379012856712
"73",56,60.9839833042982
"74",56,131.724777961708
"75",42,66.609583740098
"76",65,211.800109691708
"77",66,102.894206255711
"78",60,105.69023580784
"79",39,173.213722861756
"80",49,32.2612542801376
"81",49,154.326129200436
"82",67,35.8544364738785
"83",52,146.092328123766
"84",66,121.303637745121
"85",43,89.5010031849885
"86",68,204.770182338583
"87",56,73.9302310391309
"88",57,138.41046885462
"89",51,179.864242522659
"90",50,66.4978141610465
"91",57,159.099722188289
"92",45,278.608349326377
"93",55,122.81694646491
"94",55,131.089398672245
"95",46,151.425170726857
"96",70,192.370189700686
"97",55,77.9852816768768
"98",40,109.920107302285
"99",72,37.8228871004642
"100",62,107.009901611681
"101",51,179.191052517706
"102",53,67.6825716560176
"103",68,88.015846676336
"104",54,219.7042745499
"105",83,222.951537014585
"106",56,151.412125775744
"107",68,133.450130775451
"108",62,187.73443072592
"109",53,161.06429689284
"110",52,81.7361421943344
"111",50,186.737589251759
"112",47,87.2291203666042
"113",40,82.7700482921651
"114",26,123.519604113009
"115",49,178.625561288634
"116",61,90.6099619633013
"117",53,247.933320824952
"118",50,144.259615392387
"119",58,178.104980236067
"120",32,27.4605611124307
"121",58,139.515996154275
"122",69,134.784800804847
"123",50,262.023355130736
"124",42,116.211586406292
"125",57,110.022600370943
"126",42,188.384740835147
"127",61,179.809279463509
"128",43,223.411301466739
"129",70,152.865316949316
"130",56,56.0222010679569
"131",58,102.729418016602
"132",70,85.5490450085275
"133",54,186.956722031834
"134",61,197.946129981667
"135",74,241.590576449176
"136",67,164.861927320981
"137",48,133.750867587344
"138",71,250.595608137757
"139",62,77.3548489942515
"140",46,197.650531302793
"141",41,150.743400149231
"142",57,229.70964204983
"143",41,100.005500382191
"144",75,201.519211630673
"145",48,139.261554382702
"146",62,46.4805184091687
"147",59,138.820469681638
